Transition,Date,Q_V_c,Q_V_c_error,,T_p,T_p_error,delta_V,delta_V_error,,W,W_error,M_V_c,M_V_c_error,,S_p,S_p_error,V_r_low,V_r_upp
"(11,9)",2020-04-01,,,,,,,,,,,62.45,0.19,,0.15,0.04,61.8,63.2
"(4,1)",2020-01-08,60.14,0.35,,0.23,0.03,8.71,0.76,,1.3,0.13,,,,,,,
"(4,1)",* 2020-3-20,58.76,0.97,,0.28,0.07,9.28,0.37,,3.28,0.15,,,,,,,
"(4,1)",2020-04-01,60.29,0.34,,0.33,0.07,10.37,0.97,,2.2,0.17,,,,,,,
"(4,1)",2020-04-07,60.29,,<,0.2,,,,<,0.49,,,,,,,,
"(5,3)",2020-01-08,59.1,0.91,,0.3,0.1,10.17,1.48,,1.83,0.30 18.3 0.8,56.82,0.09,,0.34,0.04,55.8,57.8
"(5,3)",2020-3-20,58.56,0.6,,0.3,0.07,8.75,0.73,,3.3,0.3,56.82,,<,0.11,,,
"(5,3)",2020-04-01,59.95,0.28,,0.43,0.07,11.43,0.56,,5.16,0.23  5.7 2.5,56.6,0.04,,0.29,0.03,55.6,57.6
"(5,3)",2020-04-07,59.95,,<,0.2,,,,<,0.66,,56.6,,<,0.1,,,
"(4,2)",2020-01-08,61.48,0.81,,0.17,0.03,20.37,2.06,,3.4,0.27  5.9 2.4,,,,,,,
"(4,2)",* 2020-3-20,57.12,0.29,,0.5,0.07,8.12,0.48,,5.12,0.4,,,,,,,
"(4,2)",2020-04-01,60.32,0.32,,0.4,0.03,18.08,0.79,,5.33,0.77 15.5 0.3,,,,,,,
"(4,2)",2020-04-07,60.32,,<,0.2,,,,<,1.8,,,,,,,,
"(5,4)",2020-01-08,58.93,0.27,,0.43,0.2,12.7,0.9,,7.13,0.33  9.1 2.2,54.45,0.02,,0.67,0.09,54.2,54.8
"(5,4)",2020-01-08,,,,,,,,,,,56.6,0.02,,1.36,0.09,55.9,57.3
"(5,4)",2020-03-20,59.01,0.16,,0.37,0.13,7.36,0.34,,5.53,0.53,54.43,0.02,,0.39,0.05,54.1,54.7
"(5,4)",2020-03-20,,,,,,,,,,,56.55,0.01,,0.93,0.05,56.1,57.1
"(5,4)",2020-04-01,58.95,0.24,,0.37,0.13,7.65,0.58,,6.59,0.3,54.45,0.02,,0.45,0.07,54.3,54.7
"(5,4)",2020-04-01,,,,,,,,,,,56.58,0.02,,0.76,0.07,55.9,57.3
"(5,4)",2020-04-07,58.95,,<,0.22,,,,<,0.9,,54.45,,<,0.11,,,
"(5,4)",2020-04-07,,,,,,,,,,,56.58,,<,0.11,,,
"(4,3)",2020-01-08,59.04,0.22,,0.67,0.07,16.73,0.53,,5.99,0.30  9.8 1.0,,,,,,,
"(4,3)",2020-03-20,59.76,0.16,,0.43,0.03,17.22,0.36,,4,0.37 21.2 0.3,,,,,,,
"(4,3)",2020-04-01,60.75,0.33,,0.33,0.07,16.54,0.73,,3.43,0.80 21.9 0.8,,,,,,,
"(4,3)",2020-04-07,62.48,1.19,,0.13,0.03,23.9,2.6,,3.1,0.3,,,,,,,
"(6,5)",2020-01-08,62.6,1.14,,0.27,0.07,22.58,2.07,,3.53,0.70 25.3 0.9,,,,,,,
"(6,5)",2020-03-20,60.2,0.25,,0.33,0.03,10.38,0.75,,3.63,0.23 23.3 0.5,,,,,,,
"(6,5)",2020-04-01,60.48,0.35,,0.27,0.03,8.4,0.84,,2.5,0.23 19.4 0.7,,,,,,,
"(6,5)",2020-04-07,60.48,,<,0.2,,,,<,1.53,,,,,,,,
"(3,2)",2020-01-08,60.07,0.17,,0.6,0.07,9.31,0.4,,5.89,0.2,,,,,,,
"(3,2)",2020-03-20,59.91,0.1,,0.5,0.03,9.53,0.23,,4.93,0.1,,,,,,,
"(3,2)",2020-04-01,60.02,0.19,,0.4,0.07,9.79,0.41,,4.16,0.17  5.1 2.2,,,,,,,
"(3,2)",2020-04-07,59.5,0.9,,0.1,0.07,4.2,1.96,,0.6,0.3,,,,,,,
"(3,2)",2020-04-07,67.8,0.9,,0.16,0.07,6.6,1.96,,1.56,0.3,,,,,,,
"(7,6)",2020-01-08,60.32,0.47,,0.37,0.07,9.6,1.1,,3.66,0.2,48.06,0.02,,0.61,0.04,47.5,48.7
"(7,6)",2020-01-08,,,,,,,,,,,49.76,0.25,,0.29,0.04,45.4,54.2
"(7,6)",2020-03-20,59.47,0.24,,0.33,0.07,10.4,0.71,,3.7,0.2,48.15,0.03,,0.49,0.03,47.2,49.2
"(7,6)",2020-03-20,,,,,,,,,,,50.45,0.08,,0.22,0.03,48.8,52.2
"(7,6)",2020-04-01,60.02,0.38,,0.3,0.1,10.81,1.28,,3.53,0.3,48.11,0.07,,0.31,0.05,47,49.2
"(7,6)",2020-04-01,,,,,,,,,,,50.35,0.12,,0.24,0.05,48.5,52.3
"(7,6)",2020-04-07,60.02,,<,0.23,,,,<,0.69,,48.11,,<,0.12,,,
"(7,6)",2020-04-07,,,,,,,,,,,50.35,,<,0.12,,,
"(2,1)",2020-01-08,59.85,0.34,,0.8,0.1,7,0.95,,5.86,0.97  5.2 0.5,,,,,,,
"(2,1)",2020-03-20,60.2,0.22,,0.43,0.03,9.08,0.68,,3.66,0.33  3.8 0.3,,,,,,,
"(2,1)",2020-04-01,59.72,0.3,,0.47,0.07,5.37,0.79,,4.43,0.27  3.5 0.8,,,,,,,
